,Unnamed: 0,tweet,created_at (after trading hours),Same day stock closing price,Next day stock open price,Daily change,polarity
40,40,"['congratulation', 'ginnirometty', 'incredible', 'career', 'you', 'great', 'partner', 'inspire', 'leader', 'best', 'next', 'chapter', 'know', 'do', 'yet']",2020-01-30 23:36:47+00:00,33.33,33.25,-0.24%,0.675
41,41,"['excite', 'day', 'team', 'city', 'we', 'commit', 'electric', 'future', 'start', 'right', 'home', 'state']",2020-01-27 17:09:39+00:00,33.41,33.57,0.48%,0.14285714285714285
42,42,"['congratulation', 'chevrolet', 'team', 'create', 'another', 'industry', 'best']",2019-12-11 20:09:30+00:00,35.24,35.34,0.28%,1.0
43,43,"['keep', 'customer', 'safe', 'begin', 'house', 'workforce', 'we', 'commit', 'everyone', 'return', 'home', 'safely', 'every', 'day', 'join', 'u', 'reaffirm', 'commitment', 'product', 'workplace', 'safety']",2019-09-11 20:04:26+00:00,39.46,39.41,-0.13%,0.5
44,44,"['maejemison', 'the', 'pleasure', 'mine', 'maejemison', 'your', 'dedication', 'stem', 'education', 'example', 'set', 'make', 'impossible', 'possible', 'inspiration', 'thinkbi']",2019-07-24 19:00:22+00:00,40.88,40.34,-1.32%,-0.3333333333333333
45,45,"['every', 'year', 'cityyear', 'honor', 'leader', 'community', 'work', 'toward', 'improve', 'educational', 'opportunity', 'this', 'year', 'mark', 'reuss', 'acknowledge', 'fitting', 'mark', 'dedication', 'city', 'future', 'inspire']",2019-05-16 21:37:39+00:00,37.38,37.01,-0.99%,0.25
46,46,"['a', 'part', 'bizroundtable', 'release', 'agenda', 'leadership', 'innovation', 'discuss', 'topic', 'cybersecurity', 'ai', 'av', 'for', 'sustainable', 'long', 'term', 'economic', 'growth', 'av', 'unlock', 'profound', 'societal', 'benefit']",2019-05-07 21:39:32+00:00,38.53,38.42,-0.29%,0.07777777777777778
47,47,"['and', 'hard', 'say', 'goodbye', 'colleague', 'help', 'drive', 'change', 'gm', 'i', 'like', 'wish', 'alicia', 'boler', 'davis', 'best', 'next', 'endeavor', 'i', 'know', 'gerald', 'johnson', 'bring', 'expertise', 'passion', 'leadership', 'drive', 'continue', 'success']",2019-02-28 21:31:25+00:00,39.48,39.85,0.94%,0.2520833333333333
48,48,"['a', 'continue', 'transform', 'gm', 'operate', 'pleased', 'welcome', 'wes', 'g', 'bush', 'board', 'director', 'come', 'northrop', 'grumman', 'wes', 'strong', 'strategic', 'capability', 'manufacture', 'engineering', 'tech', 'great', 'addition', 'board']",2019-02-11 21:04:58+00:00,38.63,38.8,0.44%,0.6333333333333333
49,49,"['2018', 'important', 'year', 'gm', 'we', 'navigate', 'significant', 'headwind', 'make', 'strategic', 'decision', 'position', 'u', 'road', 'ahead']",2019-02-06 16:03:33+00:00,39.91,39.23,-1.70%,0.3875
50,50,"['a', 'open', 'inclusive', 'company', 'work', 'hard', 'create', 'environment', 'everyone', 'feel', 'welcome', 'value', 'wearegm']",2018-10-04 19:26:11+00:00,34.25,34.41,0.47%,0.16944444444444443
51,51,"['congratulation', 'colleague', 'dhivya', 'acknowledgment', 'proud', 'work', 'together', 'shape', 'future', 'transportation']",2018-09-25 17:13:53+00:00,33.55,33.49,-0.18%,0.4
52,52,"['two', 'great', 'takeaway', 'first', 'must', 'address', 'way', 'approach', 'math', 'education', 'girl', 'second', 'nothing', 'beat', 'hard', 'work', 'womeninstem', 'via', 'nytimes']",2018-08-14 20:17:26+00:00,36.2,35.82,-1.05%,0.18958333333333333
53,53,"['i', 'also', 'like', 'congratulate', 'exceptional', 'leader', 'colleague', 'friend', 'retirement', 'chuck', 'stevens', 'vital', 'aspect', 'core', 'future', 'business', 'strategy', 'gm', 'thank', 'chuck', 'commitment', 'contribution']",2018-06-13 16:30:58+00:00,44.45,44.39,-0.13%,0.25555555555555554
54,54,"['it', 'u', 'leave', 'behind', 'good', 'world', 'give', 'i', 'proud', 'share', '2017', 'sustainabilityreport', 'work', 'global', 'team', 'lead', 'charge', 'create', 'safe', 'well', 'sustainable', 'future']",2018-06-12 16:08:14+00:00,44.18,44.12,-0.14%,0.26666666666666666
55,55,"['this', 'technology', 'potential', 'change', 'world', 'very', 'proud', 'team', 'help', 'lead', 'u', 'safe', 'era', 'transportation']",2018-06-06 17:30:10+00:00,43.93,43.51,-0.96%,0.5
56,56,"['i', 'honor', 'include', 'inspire', 'group', 'a', 'iconic', 'american', 'company', 'heritage', 'always', 'part', 'future', 'here', 'next', '100', 'year', 'innovate']",2018-05-30 20:02:16+00:00,37.83,41.65,10.10%,0.125
57,57,"['we', 'revolutionize', 'world', 'move', 'the', 'gm', 'team', 'inspire', 'energizes', 'every', 'day', 'innovate', 'take', 'smart', 'risk', 'i', 'excited', 'future']",2018-05-23 20:33:57+00:00,37.85,38.0,0.40%,0.19642857142857142
58,58,"['a', 'great', 'piece', 'teenvogue', 'friend', 'colleague', 'pam', 'fletcher', 'thank', 'pam', 'team', 'help', 'ensure', 'good', 'tomorrow']",2018-05-15 17:29:42+00:00,36.94,36.97,0.08%,0.75
59,59,"['it', 'wonderful', 'talk', 'learn', 'next', 'generation', 'leader', 'thank', 'laaf', 'let', 'part', 'incredible', 'class']",2018-05-07 18:46:40+00:00,36.34,36.38,0.11%,0.6333333333333333
60,60,"['i', 'wonderful', 'time', 'firstchamp', 'close', 'celebration', 'saturday', 'night', 'it', 'excite', 'see', 'much', 'passion', 'innovation', 'stem', 'we', 'incredibly', 'proud', 'sponsor', 'important', 'event', 'consider', 'part', 'stemsquad', 'firstweets']",2018-05-02 17:16:48+00:00,36.2,35.99,-0.58%,0.6
61,61,"['i', 'believe', 'fundamental', 'element', 'success', 'mentorship', 'hard', 'work', 'open', 'feedback', 'i', 'talk', 'laurazarrow', 'adammgrant', 'bizradio111', 'womenatwork', 'podcast']",2018-04-23 16:50:10+00:00,37.69,37.93,0.64%,0.002777777777777768
