,tweet,date,Same day stock closing price,Next day stock open price,Daily change
27,"['thanks', 'nbcsnl', 'cast', 'writer', 'amp', 'crew', 'honor', 'amp', 'pleasure', 'show', 'mileycyrus', 'grimezsz']",2021-05-10,629.04,599.24,-4.74%
28,"['tesmanian', 'com', 'geil']",2021-05-11,617.2,602.49,-2.38%
29,"['tesla', 'amp', 'bitcoin', 'http', 'co', 'ysswjmvzhp', 'wholemarsblog', 'haha', 'blockfolio']",2021-05-12,589.89,601.54,1.97%
30,"['a', 'always', 'https', 'co', 'gtfmtokzez', 'spacenews', 'inc', 'googlecloud', 'locating', 'ground', 'station', 'data', 'center', 'significantly', 'improve', 'latency', 'amp', 'jitter', 'data', 'go', 'user', 'terminal', 'server', 'without', 'touch', 'internet', 'work', 'doge', 'devs', 'improve', 'system', 'transaction', 'efficiency', 'potentially', 'promising', 'id', 'aa', 'carmack', 'i', 'lot', 'respect', 'anyone', 'ship', 'useful', 'product', 'scale', 'it', 'insanely', 'hard', 'work', 'to', 'clear', 'i', 'strongly', 'believe', 'crypto', 'drive', 'massive', 'increase', 'fossil', 'fuel', 'use', 'especially', 'coal', 'it', 'high', 'time', 'carbon', 'tax', 'michael', 'saylor', 'http', 'co', 'f5omtcfecp', 'http', 'co', 'wupebgfhzg', 'http', 'co', 'gxmhgzb5ki']",2021-05-13,571.69,583.41,2.05%
31,"['senbillnelson', 'i', 'would', 'like', 'second', 'congratulation', 'outstanding', 'accomplishment', 'china']",2021-05-19,563.46,575.0,2.05%
32,"['teslagong', 'wintonark', 'ideally', '0', '1kwh', 'calculated', 'total', 'energy', 'use', 'system', 'divide', 'max', 'transaction', 'rate', 'blkmdl3', 'teslagong', 'wintonark', 'yes', 'spacex', 'rocket', 'thruster', 'option', 'package', 'it', 'safe', 'intense', 'probably', 'wise', 'medical', 'condition', 'hardcore', 'roller', 'coaster', 'teslagong', 'wintonark', 'bitcoin', 'hash', 'aka', 'mining', 'energy', 'usage', 'start', 'exceed', 'medium', 'size', 'country', 'almost', 'impossible', 'small', 'hashers', 'succeed', 'without', 'massive', 'economy', 'scale', 'wintonark', 'i', 'agree', 'do', 'time', 'recent', 'extreme', 'energy', 'usage', 'growth', 'could', 'possibly', 'do', 'fast', 'renewables', 'this', 'question', 'easily', 'resolve', 'top', '10', 'hash', 'orgs', 'post', 'audit', 'number', 'renewable', 'energy', 'v', 'teslaownersebay', 'austinteslaclub', 'kristennetten', 'tesla', 'teslachillmode', 'codingmark', 'evafoxu', 'rationaletienne', '28delayslater', 'wholemarsblog', 'heydave7', 'yeah', 'i', 'amp', 'sell', 'doge', 'heydave7', 'a', 'longtime', 'tesla', 'supporter', 'give', 'doge', 'dollar', 'sticker', 'giga', 'berlin', 'flcnhvy', 'marcushouse', 'oh', 'sorry', 'yes', 'roadster', 'thruster', 'plaid', 'plaid', 'indeed', 'close', 'theoretical', 'maximum', 'roadworthy', 'car', 'without', 'special', 'device', 'marcushouse', 'it', 'high', 'pressure', 'air', 'rocket', 'thruster', 'behind', 'license', 'plate', 'flip', 'bong', 'james', 'bong', 'austinbarnard45', 'good', 'idea', 'austinbarnard45', 'sure']",2021-05-20,586.78,596.11,1.59%
33,"['iamupshod', 'they', 'tell', 'would', 'appreciate', 'help', 'someone', 'suggest', 'change', 'dogecoin', 'fee', 'base', 'phase', 'moon', 'pretty', 'awesome', 'haha', 'if', 'like', 'help', 'develop', 'doge', 'please', 'submit', 'idea', 'github', 'amp', 'http', 'co', 'liapqmfaqb', 'dogecoin', 'devs', 'speak', 'north', 'american', 'bitcoin', 'miner', 'they', 'commit', 'publish', 'current', 'amp', 'plan', 'renewable', 'usage', 'amp', 'ask', 'miner', 'ww', 'potentially', 'promising']",2021-05-24,606.44,607.31,0.14%
34,"['itsallrisky', 'please', 'note', 'dogecoin', 'formal', 'organization', 'amp', 'one', 'report', 'ability', 'take', 'action', 'limit']",2021-05-25,604.69,607.56,0.47%
35,"['btc', 'archive', 'if', 'spaceship', 'still', 'around', 'deep', 'thots', 'https', 'co', 'j5mjff7iil', 'wholemarsblog', 'not', 'sure', 'write', 'accurate', 'http', 'co', 'grvwxojz56']",2021-05-26,619.13,620.24,0.18%
36,"['model3owners', 'tesla', 'sure', 'would', 'appreciate', 'change', 'law', 'require', 'waitbutwhy', 'poweredbyart', 'exactly']",2021-05-27,630.85,628.5,-0.37%
37,"['dogeofficialceo', 'southpark', 'when', 'i', 'visit', 'japan', 'later', 'year', 'southpark', 'baby', 'shark', 'crush', 'more', 'view', 'human', 'https', 'co', '48ol3zzhjp', 'coindesk', 'coinbasepro', 'nikhileshde', 'http', 'co', 'nknrxkb0rv']",2021-06-01,623.9,620.13,-0.60%
38,"['engineer', 'fee']",2021-06-03,572.84,579.71,1.20%
39,"['heydave7', 'well', 'say', 'dave', 'cj', 'nfa', 'wholemarsblog', 'wr4nygov', 'teslarati', 'stevenmarkryan', '28delayslater', 'garyblack00', 'gerberkawasaki', 'josephvvallace', 'sawyermerritt', 'teslaconomics', 'the', 'long', 'term', 'strength', 'tesla', 'manufacturing', 'technology']",2021-06-07,605.13,623.01,2.95%
40,"['teslaownerssv', 'exactly', 'dogeofficialceo', 'mattwallace888', 'now', 'i', 'make', 'improvement', 'i', 'pretty', 'sure', 'worth', '69k', 'haha', 'mattwallace888', 'my', 'primary', 'home', 'literally', '50k', 'house', 'boca', 'chica', 'starbase', 'i', 'rent', 'spacex', 'it', 'kinda', 'awesome', 'though', 'only', 'house', 'i', 'event', 'house', 'bay', 'area', 'if', 'i', 'sell', 'house', 'would', 'see', 'less', 'use', 'unless', 'buy', 'big', 'family', 'might', 'happen', 'day', 'leastimalive', 'ppathole', 'yeah', 'sell', 'house', 'except', '1', 'bay', 'area', 'rent', 'event', 'work', 'sustainable', 'energy', 'earth', 'tesla', 'amp', 'protect', 'future', 'consciousness', 'make', 'life', 'multiplanetary', 'spacex', 'also', 'ai', 'risk', 'mitigation', 'neuralink', 'amp', 'fix', 'traffic', 'bore', 'ppathole', 'exactly', 'only', 'time', 'i', 'sell', 'tesla', 'stock', 'stock', 'option', 'expire', 'amp', 'i', 'choice', 'btw', 'i', 'continue', 'pay', 'income', 'tax', 'california', 'proportionate', 'time', 'state', 'amp', 'significant', 'squawksquare', 'fredericlambert', 'not', 'even', 'good', 'fake', 'anonymous', 'the', 'article', 'behind', 'paywall', 'look', 'like', 'anonymous', 'hack', 'skill', 'enough', 'get', 'behind', 'teslarati', 'tesla', 'europe', 'team', 'great']",2021-06-09,598.78,603.88,0.85%
41,"['teslany', 'lvcva', 'people', 'like', 'adamklotz', 'brycespacetech', 'starlink', 'mission', 'move', 'starship', 'brycespacetech', 'useful', 'mass', 'orbit', 'primary', 'figure', 'merit']",2021-06-10,610.12,610.23,0.02%
42,"['gmalca', 'tesla', 'true', 'somewhat', 'overcompensate', 'bluetooth', 'antenna', 'capability', 'haha', 'will', 'work', 'turn', 'near', 'destination']",2021-06-15,599.36,597.54,-0.30%
43,"['let', 'skip', 'original', 'video', 'game', 'amp', 'movie', 'amp', 'go', 'straight', 'sequel', 'nuc', 'geek', 'massive', 'increase', 'supercharger', 'network', 'underway']",2021-06-16,604.87,601.89,-0.49%
44,"['real', 'pic', '2', 'ship', 'next', 'starbase', 'tiki', 'bar', 'right', 'https', 'co', 'e4awzieddq', 'donisiko', 'eroxer310', 'motortrend', 'tesla', 'true', 'eroxer310', 'motortrend', 'tesla', 'steam', 'engine', 'even', 'well', 'erdayastronaut', 'vincent13031925', 'i', 'drive', 'yoke', 'amp', 'great', 'imo', 'progressive', 'steering', 'would', 'require', 'complex', 'gear', 'drive', 'wire', 'without', 'direct', 'mechanical', 'link', 'will', 'aim', 'year', 'xhnews', 'congratulation', 'great', 'achievement', 'teslarati', '13ericralph31', 'nasaspaceflight', 'thejackbeyer', 'we', 'might', 'use', 'sn16', 'hypersonic', 'flight', 'test', 'vincent13031925', 'fair', 'enough']",2021-06-17,616.6,613.37,-0.52%
45,"['wholemarsblog', 'very', 'sorry', 'hear', 'condolence', 'jb', 'family', 'ashleevance', 'tesla', 'financing', 'round', 'close', '6pm', 'dec', '24th', '2008', 'last', 'hour', 'last', 'day', 'possible', 'payroll', 'would', 'bounce', '2', 'day', 'later', 'i', 'give', 'tesla', 'last', 'remaining', 'cash', 'paypal', 'didn', 'even', 'house', 'anything', 'sellable', 'look', 'hold', 'tesla', 'ai', 'day', 'month', 'will', 'go', 'progress', 'tesla', 'ai', 'software', 'amp', 'hardware', 'train', 'amp', 'inference', 'purpose', 'recruit', 'karpathy', 'physical', 'world', 'sigh', 'karpathy', 'in', 'general', 'anyone', 'interested', 'work', 'physical', 'word', 'ai', 'problem', 'consider', 'join', 'tesla', 'fast', 'path', 'deploy', 'idea', 'irl']",2021-06-21,620.83,618.25,-0.42%
